##### Special Ruins

10443 = jungle

10444 = jungle
10445 = jungle
10446 = jungle

10447 = hills

10448 = jungle
10449 = jungle
10450 = jungle
10451 = jungle
10452 = jungle
10453 = jungle

10454 = jungle

10455 = jungle
10456 = jungle
10457 = jungle
10458 = jungle
10459 = jungle

10460 = jungle

10461 = jungle
10462 = jungle
10463 = forest
10464 = jungle
10465 = jungle

10466 = jungle

10467 = jungle
10468 = jungle
10469 = jungle
10470 = jungle
10471 = jungle
10472 = jungle

10321 = jungle

10322 = wetlands
10323 = jungle
10324 = jungle
10325 = wetlands
10326 = wetlands
10327 = wetlands

10475 = forest

10474 = forest
10473 = farmlands
10476 = forest
10477 = jungle
10478 = forest
10479 = plains

	# 10229 is a sea tile

10480 = jungle

10481 = jungle
10482 = jungle
10483 = jungle
10484 = jungle
10485 = jungle

10489 = forest

10487 = forest
10488 = forest
10486 = plains
10490 = forest
10491 = jungle
10492 = jungle

10521 = plains

10522 = forest
10523 = forest
10524 = jungle
10525 = forest
10526 = jungle
10527 = jungle

10529 = forest

10530 = forest
10531 = forest
10532 = forest
10533 = forest
10528 = plains
10534 = jungle

10535 = forest

10536 = jungle
10537 = jungle
10538 = jungle
10539 = jungle
10540 = jungle

10541 = jungle

10542 = jungle
10543 = jungle
10544 = wetlands
10545 = wetlands
10546 = the_bog

10494 = jungle

10493 = jungle
10495 = jungle
10496 = wetlands
10497 = wetlands
10498 = jungle
10499 = wetlands
10500 = wetlands

	# 10277 is a sea tile
	# 10278 is a sea tile
	# 10279 is a sea tile
	# 10280 is a sea tile
	# 10281 is a sea tile
	# 10282 is a sea tile
	# 10283 is a sea tile
	# 10284 is a sea tile
	# 10285 is a sea tile
	# 10286 is a sea tile
	# 10287 is a sea tile

10547 = urban

10548 = forest
10549 = forest
10550 = forest
10551 = jungle
10552 = jungle

10553 = forest

10554 = jungle
10555 = jungle
10556 = jungle
10557 = jungle
10558 = jungle

10559 = forest

10560 = jungle
10561 = jungle
10562 = jungle
10563 = jungle
10564 = jungle

10583 = jungle

10584 = jungle
10585 = jungle
10586 = jungle
10587 = jungle
10588 = jungle
10589 = jungle

10295 = urban
10296 = jungle
10297 = jungle
10298 = jungle
10299 = jungle
10300 = jungle

10301 = forest

10302 = jungle
10303 = jungle
10304 = forest
10305 = jungle
10306 = jungle

10307 = jungle

10308 = jungle
10309 = jungle
10310 = jungle
10311 = jungle
10312 = jungle
10313 = jungle


10669 = plains
10670 = forest
10671 = forest
10672 = forest
10673 = hills
10674 = hills
10675 = hills
10676 = hills
10677 = hills
10678 = hills
10679 = hills
10680 = hills
10681 = forest
10682 = forest
10683 = forest
10684 = forest
10685 = plains
10686 = plains
10687 = forest
10688 = plains
10689 = plains
10690 = plains
10691 = plains
10692 = forest
10693 = forest
10694 = plains
10695 = plains
10696 = plains
10697 = plains
10698 = plains
10699 = plains
10700 = forest
10701 = forest
10702 = forest
10703 = plains
10704 = forest
10705 = plains
10706 = plains
10707 = forest
10708 = forest
10709 = plains
10710 = plains
10711 = plains
10712 = forest
10731 = wetlands
10732 = wetlands
10733 = jungle
10734 = jungle
10735 = wetlands
10736 = jungle
10744 = forest
10745 = jungle
10746 = jungle
10747 = jungle
10748 = jungle
10713 = jungle
10714 = jungle
10715 = jungle
10716 = jungle
10717 = jungle
10718 = jungle
10719 = jungle
10720 = jungle
10721 = jungle
10722 = jungle
10723 = jungle
10724 = jungle
10725 = jungle
10726 = jungle
10727 = jungle
10728 = jungle
10729 = jungle
10730 = jungle
10240 = forest
10241 = plains
10242 = plains
10243 = forest
10244 = plains
10245 = forest
10246 = plains
10247 = plains
10248 = forest
10249 = plains
10250 = forest
10251 = plains
10252 = plains
10253 = forest
10254 = plains
10255 = forest
10256 = forest
10260 = farmlands
10258 = farmlands
10259 = forest
10257 = hills
10261 = plains
10262 = plains
10263 = farmlands
10264 = forest
10265 = plains
10266 = forest
10267 = forest
10268 = plains
10269 = plains
10270 = forest
10271 = jungle
10272 = jungle
10273 = jungle
10274 = forest
10280 = forest
10276 = plains
10277 = forest
10278 = forest
10279 = plains
10275 = farmlands
10281 = forest
10282 = jungle
10283 = jungle
10284 = jungle
10285 = jungle
10286 = jungle
10287 = jungle
10288 = forest
10289 = jungle
10290 = jungle
10291 = jungle
10292 = jungle
10293 = jungle
10294 = jungle
10590 = jungle
10591 = jungle
10592 = jungle
10593 = jungle
10594 = jungle
10595 = jungle
10596 = forest
10597 = forest
10598 = jungle
10599 = jungle
10600 = jungle
10601 = jungle
10602 = jungle
10603 = jungle
10604 = jungle
10605 = jungle
10606 = jungle
10607 = jungle
10214 = jungle
10215 = jungle
10216 = jungle
10217 = jungle
10218 = jungle
10219 = jungle
10220 = jungle
10221 = jungle
10222 = jungle
10223 = jungle
10224 = jungle
10225 = jungle
10226 = jungle
10227 = jungle
10228 = jungle
10229 = jungle
10230 = jungle
10231 = jungle
10232 = jungle
10239 = jungle
10234 = jungle
10235 = jungle
10236 = jungle
10237 = jungle
10238 = jungle
10233 = jungle
10565 = jungle
10566 = jungle
10567 = jungle
10568 = jungle
10569 = jungle
10570 = jungle
10571 = jungle
10572 = jungle
10573 = jungle
10574 = jungle
10575 = jungle
10576 = jungle
10577 = jungle
10578 = jungle
10579 = jungle
10580 = jungle
10581 = jungle
10582 = jungle
10608 = jungle
10609 = jungle
10610 = jungle
10611 = jungle
10612 = jungle
10613 = jungle
10614 = forest
10615 = forest
10616 = jungle
10617 = jungle
10618 = jungle
10619 = farmlands
10620 = forest
10621 = forest
10622 = forest
10623 = forest
10624 = forest
10625 = forest
10626 = jungle
10627 = forest
10628 = forest
10629 = jungle
10630 = jungle
10737 = jungle
10738 = wetlands
10739 = forest
10740 = forest
10741 = jungle
10742 = wetlands
10743 = jungle
10650 = plains
10651 = forest
10652 = jungle
10653 = jungle
10654 = hills
10655 = forest
10656 = jungle
10663 = forest
10664 = jungle
10665 = jungle
10666 = jungle
10667 = jungle
10668 = jungle
10657 = hills
10658 = forest
10659 = hills
10660 = hills
10661 = forest
10662 = jungle
10637 = forest
10638 = forest
10639 = jungle
10640 = jungle
10641 = jungle
10642 = jungle
10643 = jungle
10631 = jungle
10632 = jungle
10633 = forest
10634 = jungle
10635 = jungle
10636 = jungle
10644 = jungle
10645 = jungle
10646 = jungle
10647 = jungle
10648 = jungle
10649 = jungle
10508 = jungle
10509 = jungle
10510 = wetlands
10511 = wetlands
10512 = wetlands
10513 = the_bog
10514 = wetlands
10329 = wetlands
10330 = wetlands
10331 = jungle
10332 = jungle
10333 = jungle
10328 = jungle
10334 = wetlands
10502 = the_bog
10503 = the_bog
10504 = the_bog
10505 = wetlands
10506 = the_bog
10501 = wetlands
10507 = the_bog
10515 = wetlands
10516 = the_bog
10517 = the_bog
10518 = the_bog
10519 = the_bog
10520 = the_bog
10836 = urban
10837 = forest
10838 = forest
10839 = forest
10841 = forest
10840 = plains
10842 = forest
10843 = plains
10844 = forest
10845 = jungle
10846 = jungle
10847 = jungle
10848 = jungle
10849 = jungle
10850 = jungle
10851 = forest
10852 = forest
10853 = jungle
10854 = forest
10855 = forest
10856 = jungle
10857 = jungle
10858 = jungle
10931 = jungle
10930 = jungle
10932 = wetlands
10933 = jungle
10934 = jungle
10936 = jungle
